ve,zc_n,hy_n
山西省 长治市 平顺县,1026,932
山西省 吕梁市 方山县,1977,1859
安徽省 合肥市 蜀山区,1076,707
吉林省 白城市 大安市,3440,2752
云南省 丽江市 古城区,824,529
湖北省 荆州市 监利县,1020,744
浙江省 衢州市 江山市,1948,887
河南省 郑州市 上街区,1131,677
河北省 衡水市 故城县,298,189
河南省 郑州市 金水区,152,121
安徽省 马鞍山市 雨山区,89,36
广东省 广州市 海珠区,4,2
河北省 唐山市 滦县,2,0
福建省 泉州市 晋江市,2,1
安徽省 安庆市 宿松县,1,0
河北省 保定市 清苑县,4,1
河北省 唐山市 路北区,3,0
江苏省 无锡市 北塘区,3,3
辽宁省 抚顺市 新抚区,4,3
江苏省 常州市 新北区,2,2
湖北省 武汉市 江岸区,3,1
安徽省 阜阳市 颍上县,1,0
山东省 淄博市 市辖区,2,0
河南省 周口市 商水县,1,1
四川省 成都市 郫县,1,1
湖南省 常德市 汉寿县,1,0
北京市 市辖区 石景山区,3,2
广东省 茂名市 茂南区,3,2
辽宁省 沈阳市 大东区,1,1
湖北省 武汉市 青山区,1,1
江苏省 泰州市 靖江市,1,1
黑龙江省 齐齐哈尔市 建华区,1,0
吉林省 延边朝鲜族自治州 安图县,3,1
湖南省 郴州市 临武县,1,1
河南省 开封市 杞县,1,1
贵州省 黔西南布依族苗族自治州 贞丰县,1,1
山西省 临汾市 洪洞县,1,1
湖北省 黄冈市 红安县,1,0
湖南省 怀化市 辰溪县,1,0
广东省 惠州市 惠东县,1,0
上海市 市辖区 嘉定区,1,0
安徽省 阜阳市 界首市,1,1
河南省 洛阳市 偃师市,1,1
四川省 内江市 资中县,1,1
天津市 市辖区 红桥区,1,1
辽宁省 抚顺市 抚顺县,1,0
湖北省 咸宁市 嘉鱼县,1,0
安徽省 铜陵市 铜官山区,1,1
河北省 廊坊市 香河县,1,1
江苏省 徐州市 睢宁县,1,1
陕西省 咸阳市 礼泉县,1,0
江西省 南昌市 西湖区,1,0
河南省 郑州市 中牟县,1,1
河南省 开封市 尉氏县,1,1
辽宁省 朝阳市 建平县,1,1
四川省 泸州市 泸县,1,1
江西省 上饶市 信州区,1,1
山东省 济宁市 汶上县,1,0
湖南省 邵阳市 绥宁县,1,0
山东省 临沂市 兰山区,1,0
